TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
EURRUB;60;190820;0;87.2958000;87.3744000;87.1418000;87.2510000;2977
EURRUB;60;190820;10000;86.9510000;87.2610000;86.9510000;87.1235000;27
EURRUB;60;190820;20000;87.1454000;87.2640000;87.0450000;87.2640000;16
EURRUB;60;190820;30000;87.2750000;87.3120000;87.1300000;87.1430000;12
EURRUB;60;190820;40000;87.1860000;87.3150000;86.9310000;87.3150000;12
EURRUB;60;190820;50000;87.2300000;87.2510000;86.9820000;86.9820000;12
EURRUB;60;190820;60000;87.0640000;87.3050000;87.0640000;87.1940000;15
EURRUB;60;190820;70000;87.1931000;87.3730000;87.1565000;87.1637000;1443
EURRUB;60;190820;80000;87.1735000;87.2860000;87.1615000;87.1777000;127
EURRUB;60;190820;90000;87.2930000;87.3430000;87.1337000;87.2810000;2596
EURRUB;60;190820;100000;87.2339000;87.3360000;87.1102000;87.2092000;5905
EURRUB;60;190820;110000;87.2102000;87.4698000;87.1575000;87.3092000;25975
EURRUB;60;190820;120000;87.3529000;87.5416000;87.2996000;87.4896000;19151
EURRUB;60;190820;130000;87.4962000;87.5681000;87.3767000;87.5617000;15145
EURRUB;60;190820;140000;87.5651000;87.8022000;87.5093000;87.5979000;15699
EURRUB;60;190820;150000;87.5979000;87.7251000;87.5223000;87.5853000;15602
EURRUB;60;190820;160000;87.5853000;87.6502000;87.4634000;87.5201000;16111
EURRUB;60;190820;170000;87.5208000;87.5817000;87.3162000;87.4222000;18012
EURRUB;60;190820;180000;87.4222000;87.4411000;86.8846000;86.9279000;21186
EURRUB;60;190820;190000;86.9276000;87.1240000;86.8539000;86.9807000;13694
EURRUB;60;190820;200000;86.9807000;86.9830000;86.7711000;86.8871000;11192
EURRUB;60;190820;210000;86.8871000;86.9490000;86.7946000;86.8177000;7807
EURRUB;60;190820;220000;86.7453000;86.9335000;86.6365000;86.7935000;21530
EURRUB;60;190820;230000;86.7933000;86.8799000;86.7233000;86.8041000;13905
